부채보유 여부별,가구주 연령계층별(10세),"자산, 부채, 소득 분류별",2012,2013,2014,2015,2016,2017
부채보유 여부별,가구주 연령계층별(10세),"자산, 부채, 소득 분류별",전가구 평균 (만원),전가구 평균 (만원),전가구 평균 (만원),전가구 평균 (만원),전가구 평균 (만원),전가구 평균 (만원)
전체,30세 미만,가구분포 (%),3.7,3.4,2.5,2.3,2.3,2.5
전체,30세 미만,순자산액 (만원),7671,7152,7296,7373,6956,7489
전체,30~39세,가구분포 (%),18.5,18.5,17.8,16.6,16,14.8
전체,30~39세,순자산액 (만원),18342,17745,17970,19207,20109,21904
전체,40~49세,가구분포 (%),26.2,26.2,26.4,25.8,25.1,24.3
전체,40~49세,순자산액 (만원),27460,25864,26156,26467,29125,31246
전체,50~59세,가구분포 (%),23.3,24.5,25.2,25.5,25.3,25.4
전체,50~59세,순자산액 (만원),35116,34894,35393,34940,36113,37026
전체,60세이상,가구분포 (%),28.3,27.3,28.1,29.7,31.3,33.1
전체,60세이상,순자산액 (만원),27640,29140,29463,31346,32218,33772
