"시도별(1)","설립주체별(1)",2018,2018,2018,2018,2018,2018
"시도별(1)","설립주체별(1)",학교수 (개),교직원수,교직원수,학생수,학생수,학생수
"시도별(1)","설립주체별(1)",소계,교원수,직원수,1학년,2학년,3학년
"시도별(1)","설립주체별(1)",소계,여자,여자,여자,여자,여자
"서울","계",385,12524,534,31835,35315,36500
"부산","계",174,4666,345,11414,12525,13045
"대구","계",125,3982,212,9680,10489,11230
"인천","계",134,4240,306,11634,12443,13051
"광주","계",90,2611,137,6685,7276,7815
"대전","계",88,2472,171,6303,7006,7238
"울산","계",63,2032,139,4723,5017,5260
"세종","계",23,713,36,1714,1727,1629
"경기","계",627,19368,1204,54831,58940,59983
"강원","계",163,2428,240,5929,6341,6602
"충북","계",127,2539,198,6313,6758,6906
"충남","계",187,3067,222,8738,9261,9323
"전북","계",209,2935,300,7533,8273,8632
"전남","계",248,3062,292,7113,7595,7974
"경북","계",262,4030,363,9547,9948,10482
"경남","계",264,4957,398,13646,14447,14902
"제주","계",45,989,95,2902,3015,3198
